Date,Cases - Total,Deaths - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity
04/02/2020,410,14,3,52,70,71,84,61,37,32,0,212,185,13,86,15,193,78,9,29,0,0,0,1,2,1,6,4,0,5,9,0,2,2,8,2,0,0
03/26/2020,318,2,4,41,64,65,64,40,31,9,0,153,164,1,45,8,148,81,8,28,0,0,0,0,0,0,1,1,0,0,2,0,0,1,1,0,0,0
04/18/2020,580,37,16,86,100,106,111,90,47,24,0,298,281,1,203,9,155,77,33,103,0,0,0,3,4,8,12,10,0,19,18,0,12,5,18,2,0,0
04/07/2020,582,25,2,81,100,92,102,99,57,49,0,323,257,2,114,22,256,94,26,70,0,0,0,1,5,4,10,5,0,11,14,0,6,0,16,1,2,0
03/25/2020,235,5,1,34,45,38,45,31,28,13,0,99,136,0,27,7,123,57,9,12,0,0,1,0,1,1,0,2,0,3,2,0,1,0,3,1,0,0
03/24/2020,218,2,2,28,40,37,45,33,20,13,0,102,116,0,22,12,98,72,8,6,0,0,0,0,0,2,0,0,0,0,2,0,1,0,1,0,0,0
03/15/2020,25,0,0,5,2,8,3,4,3,0,0,11,13,1,2,2,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/09/2020,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/21/2020,111,2,1,16,15,25,21,15,14,4,0,49,62,0,12,5,59,28,1,6,0,0,0,0,0,1,0,1,0,0,2,0,0,0,2,0,0,0
03/27/2020,294,8,2,40,42,53,82,35,27,13,0,143,150,1,43,13,144,65,11,18,0,0,0,1,1,3,3,0,0,3,5,0,2,0,4,2,0,0
03/28/2020,317,4,2,49,48,61,66,42,30,19,0,145,171,1,55,10,167,51,12,22,0,0,0,0,2,0,1,1,0,1,3,0,1,0,2,0,1,0
